역별 여객수송실적(월),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
연월,역명/열차종별,합계_승차수(명),합계_하차수(명),KTX_승차수(명),KTX_하차수(명),새마을_승차수(명),새마을_하차수(명),무궁화_승차수(명),무궁화_하차수(명)),통근열차_승차수(명),통근열차_하차수(명),누리로_승차수(명),누리로_하차수(명),KTX산천_승차수(명),KTX산천_하차수(명),ITX새마을_승차수(명),ITX새마을_하차수(명),ITX청춘열차_승차수(명),ITX청춘열차_하차수(명),KTX호남_승차수(명),KTX호남_하차수(명)
202002,서대전,91319,89051,8141,6809,544,572,47539,47366,0,0,5514,6115,11852,10035,17257,16962,0,0,472,1192
202002,계룡,15450,15482,2199,2403,0,0,5605,5978,0,0,1233,1089,4133,3434,2280,2578,0,0,0,0
202002,연산,440,419,0,0,0,0,420,336,0,0,20,83,0,0,0,0,0,0,0,0
202002,논산,30706,31533,1495,1509,0,0,17823,18150,0,0,2513,2233,2928,2886,5947,6755,0,0,0,0
202002,강경,5184,5665,0,0,0,0,3915,4268,0,0,620,431,0,0,649,966,0,0,0,0
202002,함열,2130,2089,0,0,0,0,1973,1906,0,0,157,183,0,0,0,0,0,0,0,0
202002,익산,120837,120459,39413,36789,3032,3832,39577,38436,0,0,3266,3345,27145,28782,8404,9275,0,0,0,0
202002,김제,9403,9767,266,344,0,0,4721,4913,0,0,1525,1416,248,265,2643,2829,0,0,0,0
202002,신태인,2454,2409,0,0,0,0,1540,1592,0,0,502,434,0,0,412,383,0,0,0,0
202002,정읍,24591,24962,7262,7659,0,0,6069,6530,0,0,2121,1574,5525,5558,3614,3641,0,0,0,0
202002,백양사,1197,1160,0,0,0,0,879,916,0,0,318,244,0,0,0,0,0,0,0,0
202002,장성,5996,5794,181,335,0,0,2920,2959,0,0,762,622,247,251,1886,1627,0,0,0,0
202002,광주송정,118367,120726,61468,66276,0,0,10205,10323,3123,3565,0,0,41424,38623,2147,1939,0,0,0,0
202002,나주,21723,21740,8955,10499,0,0,2596,2768,0,0,0,0,9583,7961,589,512,0,0,0,0
202002,다시,96,106,0,0,0,0,96,106,0,0,0,0,0,0,0,0,0,0,0,0
202002,함평,1623,1763,0,0,0,0,1345,1397,0,0,0,0,0,0,278,366,0,0,0,0
202002,무안,171,213,0,0,0,0,171,213,0,0,0,0,0,0,0,0,0,0,0,0
202002,몽탄,335,285,0,0,0,0,335,285,0,0,0,0,0,0,0,0,0,0,0,0
202002,일로,914,813,0,0,0,0,769,680,0,0,0,0,0,0,145,133,0,0,0,0
202002,임성리,77,44,0,0,0,0,77,44,0,0,0,0,0,0,0,0,0,0,0,0
202002,목포,41711,43130,16792,19063,0,0,6008,6667,0,0,0,0,17484,16181,1427,1219,0,0,0,0
202002,삼례,2619,2494,0,0,0,0,2619,2494,0,0,0,0,0,0,0,0,0,0,0,0
202002,전주,79807,79091,25445,23404,764,791,27233,26866,0,0,0,0,23041,24994,3324,3036,0,0,0,0
202002,임실,1757,1597,0,0,0,0,1757,1597,0,0,0,0,0,0,0,0,0,0,0,0
202002,오수,1683,1805,0,0,0,0,1683,1805,0,0,0,0,0,0,0,0,0,0,0,0
202002,남원,17032,17291,4701,4178,233,151,6481,7221,0,0,0,0,4609,4971,1008,770,0,0,0,0
202002,곡성,4402,4532,826,714,78,79,2475,2582,0,0,0,0,706,911,317,246,0,0,0,0
202002,구례구,4116,4400,1117,979,70,39,2034,2383,0,0,0,0,589,748,306,251,0,0,0,0
202002,순천,65098,65639,18996,18764,839,875,22673,23861,0,0,0,0,20182,20354,2408,1785,0,0,0,0
202002,여천,22375,21954,5301,9005,0,0,6418,6169,0,0,0,0,9667,6133,989,647,0,0,0,0
202002,여수엑스포,46580,46788,16555,17482,445,605,15520,14357,0,0,0,0,12451,12373,1609,1971,0,0,0,0
202002,오송,156515,152735,104047,96658,39,24,9427,9496,0,0,82,83,39439,42881,0,0,0,0,3481,3593
202002,청주,5037,5645,0,0,16,14,4997,5608,0,0,24,23,0,0,0,0,0,0,0,0
202002,오근장,6785,6601,0,0,0,0,6751,6567,0,0,34,34,0,0,0,0,0,0,0,0
202002,청주공항,1824,2201,0,0,0,0,1816,2197,0,0,8,4,0,0,0,0,0,0,0,0
202002,증평,4779,4432,0,0,0,0,4741,4423,0,0,38,9,0,0,0,0,0,0,0,0
202002,음성,2798,3143,0,0,0,0,2779,3141,0,0,19,2,0,0,0,0,0,0,0,0
202002,주덕,1845,1872,0,0,0,0,1830,1872,0,0,15,0,0,0,0,0,0,0,0,0
